MAG_name	Gene_name	Gene_1	Gene_2	S10_SRF_TPM	S25_SRF_TPM	S25_BML_TPM	S26_BML_TPM
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-1_633_2222_-	  Sulfatase	B6B0A5_S1_56 - Putative	0.268531019	2.699095923	0	6.998380643
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-2_63842_64759_-	  Sulfatase-modifying factor enzyme 1	W7WAA7_S1_4 - Arylsulfatase	2.611730803	0	1.016850388	2.247474333
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-23_1750_4458_-	  Sulfatase	A0YAK5_S1_4	1.703395719	0.616440957	0	1.878619742
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-30_4983_6622_-	  Sulfatase	A0A225DFC5_S1_7 - Choline-sulfatase	0.010013235	0	0	1.518031871
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-33_1888_3217_-	  Sulfatase	A0A0R2TE30_S1_14 - Sulfatase	1.568087586	0.013500999	0	0.010341762
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-33_3265_5272_-	  Alkyl sulfatase dimerisation	A0A1E8CNV9_S3 - TPR_REGION	0	1.493379912	0	1.808366201
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-55_10873_12531_-	  Sulfatase	A0A1H1P7T0_S1_4 - Arylsulfatase	2.058899677	1.212241588	0	2.437513935
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-55_14228_16048_+	  Sulfatase	A0A0M2PZL1_S1_4 - Sulfatase	0.297592671	0	0	0.672242899
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-1_3_1004_+	Sulfatase	A6DKC5_S1_30 - Putative	3.72028638	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-4_34021_35439_+	  Sulfatase	A0A2E5EFS7_S1_7 - Iduronate-2-sulfatase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-5_2175_3657_-	  Sulfatase	B4D3U0_S1_33 - Sulfatase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-5_40421_41725_+	  Sulfatase	A0A0S8JWK4_S1_8 - Heparan	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-5_44157_45695_-	  Sulfatase	A0A3R7PMN0_S1_34 - DUF4976	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-6_54364_55890_-	  Sulfatase	A0A1Q2HRP5_S1_40 - Choline-sulfatase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-6_123705_125120_+	  Sulfatase	A0A2E5EQZ5_S1_52 - Sulfatase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-6_126453_127958_-	  Sulfatase	A0A1P8WG13_S1_15 - Arylsulfatase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-6_158429_159892_-	  Sulfatase	A0A3C0DRU9_S1_59 - Arylsulfatase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-8_21597_23246_+	  Sulfatase	A0A2D5AIT5_S1_11 - Sulfatase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-9_55605_57119_-	  Sulfatase	M5RLY0_S1_15 - Arylsulfatase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-9_71359_72810_+	  Sulfatase	A0A1G2YZV2_S1_16 - Sulfatase	2.748260487	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-10_6059_7801_+	  Sulfatase	A0A2X0RVA7_S1_17 - Arylsulfatase	0	0	0	0
